CBC,NPR,CNN,ATLANTIC,CBC,NATIONAL OBSERVER,NYT,GLOBE AND MAIL,NATIONAL GEOGRAPHIC,REUTERS
https://www.cbc.ca/radio/quirks/dec-3-growling-bats-seeing-an-exoplanet-s-atmosphere-making-lab-coats-fabulous-and-more-1.6671323/bats-growl-like-death-metal-singers-to-communicate-with-each-other-1.6672050,https://www.npr.org/2022/12/04/1139164875/death-metal-singers-have-a-vocal-counterpart-in-bats,https://www.cnn.com/2022/11/29/world/bats-death-metal-growls-scn-trnd/index.html,https://www.theatlantic.com/science/archive/2022/07/woodpeckers-brain-injury-protection-evolutionary-adaptation/670516/,https://www.cbc.ca/news/science/edna-vacuum-air-1.6307663,https://www.nationalobserver.com/2023/03/09/news/light-pollution-upending-natural-world,https://www.nytimes.com/2023/05/01/science/ai-speech-language.html,https://www.theglobeandmail.com/business/technology/science/article-map-of-dark-matter-sheds-new-light-on-forces-shaping-the-universe/,https://www.nationalgeographic.com/science/article/how-can-you-tell-if-a-photo-is-ai-generated-here-are-some-tips,https://www.reuters.com/technology/space/study-details-differences-between-deep-interiors-mars-earth-2023-04-25/
https://www.cbc.ca/radio/quirks/black-holes-jet-stars-1.6825805,https://www.npr.org/sections/health-shots/2023/05/01/1173045261/a-decoder-that-uses-brain-scans-to-know-what-you-mean-mostly,https://www.cnn.com/2023/05/01/world/wales-fossil-site-scn/index.html,https://www.theatlantic.com/science/archive/2023/05/covid-pandemic-mild-winter-wave-data/673915/,https://www.cbc.ca/news/canada/windsor/bird-migration-timing-climate-1.6800129,,https://www.nytimes.com/2023/04/28/science/frogs-pollination-fruits.html,https://www.theglobeandmail.com/world/article-excessive-heat-from-climate-change-is-key-factor-in-horn-of-africa/,https://www.nationalgeographic.com/science/article/menstrual-cycle-exercise-sync-myth-science,https://www.reuters.com/lifestyle/oldest-known-bat-skeletons-shed-light-evolution-flying-mammals-2023-04-13/
https://www.cbc.ca/radio/quirks/europe-s-juice-mission-will-get-us-closer-to-searching-for-life-inside-other-worlds-1.6810509,https://www.npr.org/2023/04/21/1171292778/renewable-energy-is-here-but-how-do-we-store-it-for-the-future,https://www.cnn.com/2023/05/01/world/roman-coins-buried-treasure-italy-scn/index.html,https://www.theatlantic.com/science/archive/2023/04/teenage-brain-development-executive-function-impulsive/673905/,https://www.cbc.ca/news/canada/kitchener-waterloo/bps-food-labels-1.6792373,,https://www.nytimes.com/2023/04/27/science/quaoar-rings-kuiper-belt.html,https://www.theglobeandmail.com/canada/article-nuclear-fusion-breakthrough-us-announcement/,https://www.nationalgeographic.com/science/article/plants-can-talk-yes-really-heres-how,https://www.reuters.com/lifestyle/science/toothed-whales-sound-production-is-all-nose-2023-03-02/
https://www.cbc.ca/radio/quirks/artificial-intelligence-ai-scientist-1.6811085,https://www.npr.org/2023/04/21/1170986221/californias-destructively-wet-winter-has-a-bright-side-youll-want-to-see-it,https://www.cnn.com/2023/04/29/world/ocean-species-science-newsletter-wt-scn/index.html,https://www.theatlantic.com/science/archive/2023/04/volcano-eruptions-kill-fish/673883/,,,https://www.nytimes.com/2023/04/25/science/goldfish-brain-computer-navigation.html,https://www.theglobeandmail.com/business/article-ai-labs-future-research/,https://www.nationalgeographic.com/science/article/what-is-amber-fossils-science,https://www.reuters.com/technology/space/new-image-reveals-violent-events-near-supermassive-black-hole-2023-04-26/
https://www.cbc.ca/radio/quirks/habitable-planet-terminator-zone-twilight-zone-1.6797321,https://www.npr.org/2023/04/21/1171110131/gray-hair-stem-cells-reversible,https://www.cnn.com/2023/04/27/asia/elephant-habitat-loss-asia-scn-intl-hnk/index.html,https://www.theatlantic.com/science/archive/2023/04/climate-change-kansas-prairie-carbon-dioxide-grasshoppers/673815/,,,https://www.nytimes.com/2023/04/27/science/moths-to-a-flame-insects-light.html,https://www.theglobeandmail.com/canada/article-spiders-are-stuck-in-a-web-of-misinformation-scientists-hope-to-free/,https://www.nationalgeographic.com/science/article/probiotics-prebiotics-postbiotics-the-difference-microbiome-fermentation-yogurt,
https://www.cbc.ca/radio/quirks/koala-book-danielle-clode-1.6782271,https://www.npr.org/2023/04/20/1170967518/think-youre-tired-this-animal-goes-for-months-with-only-two-hours-of-sleep-a-day,https://www.cnn.com/2023/04/24/world/aurora-northern-southern-lights-explainer-scn/index.html,https://www.theatlantic.com/science/archive/2023/04/sea-urchin-die-off-source-ciliate/673817/,,,https://www.nytimes.com/2023/04/28/health/breast-cancer-density.html,https://www.theglobeandmail.com/canada/article-fish-sounds-could-help-scientists-understand-their-ocean-world-2/,https://www.nationalgeographic.com/science/article/why-people-love-exercise-microbiome,
https://www.cbc.ca/radio/quirks/research-earliest-horse-riders-1.6782485,https://www.npr.org/2023/04/19/1170806176/abortion-pill-mifepristone-supreme-court-fda-generic-genbiopro,https://www.cnn.com/2023/04/18/world/vikings-greenland-rising-sea-levels-scn/index.html,https://www.theatlantic.com/science/archive/2023/04/animals-migrating-great-pacific-garbage-patch/673744/,,,https://www.nytimes.com/2023/04/27/science/human-dna-genomes.html,,https://www.nationalgeographic.com/science/article/asteroids-comets,
https://www.cbc.ca/radio/quirks/feb-25-giraffe-romance-co2-record-interruption-stone-age-farmer-violence-and-more-1.6758257/fungi-may-not-zombify-you-but-they-can-be-deadly-pathogens-1.6764657,https://www.npr.org/2023/04/17/1169844428/this-floating-ocean-garbage-is-home-to-a-surprising-amount-of-life-from-the-coas,https://www.cnn.com/2023/04/20/world/sleep-diving-seals-scn/index.html,https://www.theatlantic.com/science/archive/2023/04/fish-mirrors-animal-cognition-self-awareness-science/673718/,,,https://www.nytimes.com/2023/04/20/science/salamander-dads-cannibals.html,,https://www.nationalgeographic.com/science/article/colon-cancer-increasing-young-adults-symptoms,
https://www.cbc.ca/radio/quirks/feb-18-super-size-penguins-planning-a-mission-to-uranus-an-egyptian-embalming-workshop-and-more-1.6751366/fossils-paint-the-picture-of-gorilla-sized-penguins-that-once-roamed-new-zealand-1.6752437,https://www.npr.org/sections/goatsandsoda/2023/04/13/1169662749/why-do-some-people-get-utis-over-and-over-a-new-report-holds-clues,https://www.cnn.com/2023/04/20/world/worms-munchies-study-scn/index.html,https://www.theatlantic.com/science/archive/2023/04/lab-mice-rat-rodents-vomit-drug-testing-side-effects/673714/,,,https://www.nytimes.com/2023/04/18/health/covid-diabetes.html,,https://www.nationalgeographic.com/science/article/what-is-the-multiverse,
,,https://www.cnn.com/2023/04/19/world/carnivorous-pitcher-plants-scents-scn/index.html,https://www.theatlantic.com/science/archive/2023/05/birth-control-vaccine-efficacy-contraceptive-gaps/673927/,,,https://www.nytimes.com/2023/04/13/climate/flash-drought-warming.html,,https://www.nationalgeographic.com/science/article/sundowning-syndrome-symptoms-causes-treatments,
,,https://www.cnn.com/2023/04/13/americas/oldest-known-bat-fossils-reveal-new-species-scn/index.html,https://www.theatlantic.com/science/archive/2023/04/microbes-bacteria-virus-species-conservation-extinction/673700/,,,https://www.nytimes.com/2023/04/13/science/astronomy-black-holes.html,,https://www.nationalgeographic.com/science/article/health-risks-living-near-railroads-east-palestine-trains,
,,https://www.cnn.com/2023/04/10/world/ancient-drug-use-hair-europe-scn/index.html,https://www.theatlantic.com/science/archive/2023/03/cockroaches-evolution-avoid-sweet-poison-exterminator-traps/673545/,,,,,https://www.nationalgeographic.com/environment/article/earthquakes,
,,https://www.cnn.com/2023/03/08/health/allergy-season-early-pollen-wellness-climate/index.html,https://www.theatlantic.com/science/archive/2023/03/tattoo-science-immune-system-effects/673462/,,,,,https://www.nationalgeographic.com/science/article/how-to-see-green-comet-c2022-e3-ztf,
,,https://www.cnn.com/2023/04/25/world/intermediate-mass-black-holes-scn/index.html,https://www.theatlantic.com/science/archive/2023/03/covid-origins-research-raccoon-dogs-wuhan-market-lab-leak/673390/,,,,,https://www.nationalgeographic.com/science/article/seasonal-affective-disorder-depression-winter-blues,
,,https://www.cnn.com/2023/03/21/world/marsupial-sabertooth-vision-scn/index.html,https://www.theatlantic.com/science/archive/2023/03/webb-space-telescope-discovers-galaxies-astronomy/673274/,,,,,https://www.nationalgeographic.com/science/article/feeling-under-the-weather-heres-how-different-common-drugs-work,
,,https://www.cnn.com/2023/02/21/world/atacama-desert-life-mars-scn/index.html,https://www.theatlantic.com/science/archive/2023/02/climate-change-paris-agreement-15-degrees-celsius-goal/672909/,,,,,https://www.nationalgeographic.com/science/article/scientists-mapped-hawaiis-volcanic-underbelly-in-stunning-detail,
,,https://www.cnn.com/2023/02/14/world/spy-balloon-science-weather-uses-scn/index.html,https://www.theatlantic.com/science/archive/2023/01/saliva-food-interaction-taste-influence/672802/,,,,,https://www.nationalgeographic.com/science/article/scientists-achieve-breakthrough-nuclear-fusion,
,,https://www.cnn.com/2023/01/30/health/teens-chimpanzees-scn-wellness/index.html,https://www.theatlantic.com/health/archive/2022/12/grapefruit-juice-medication-interaction-risk/672537/,,,,,https://www.nationalgeographic.com/science/article/hawaii-mauna-loa-erupts-largest-active-volcano-reawakens,
,,https://www.cnn.com/2023/04/26/health/physical-activity-addiction-wellness/index.html,https://www.theatlantic.com/science/archive/2022/12/snake-clitoris-discovery-reptilian-copulation/672450/,,,,,https://www.nationalgeographic.com/science/article/rsv-is-surging-among-kids-but-scientists-have-a-plan-to-stop-it,